,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,class_frequency,will_change,number_of_changes,change_probability
1123,1123,4,11,2,0,11,0,1,0,6,0,0,0
1124,1124,2,18,0,0,29,0,8,0,6,0,1,0.166666667
1125,1125,1,7,0,0,7,2,0,0,6,0,0,0
1126,1126,1,13,2,0,13,0,1,0,6,0,0,0
1127,1127,1,9,2,0,9,0,1,0,6,0,0,0
1128,1128,2,19,0,0,19,0,0,0,6,0,0,0
1129,1129,0,31,0,0,27,0,0,1,6,0,0,0
1130,1130,3,13,0,0,13,0,0,0,6,0,0,0
1131,1131,0,7,0,0,7,0,0,0,6,0,1,0.166666667
1132,1132,1,5,0,0,5,0,0,0,6,0,0,0
1133,1133,0,7,0,0,7,0,0,0,6,0,0,0
1134,1134,0,4,0,0.33,7,0,0,0,6,0,0,0
1135,1135,4,3,2,0,4,0,2,0,6,0,0,0
1136,1136,0,7,0,0,7,0,0,0,6,0,0,0
1137,1137,13,64,0,0.78,84,0,17,3,6,0,1,0.166666667
1138,1138,1,9,0,0.33,10,0,1,0,6,0,0,0
1139,1139,2,15,0,0.82,22,0,1,0,6,0,1,0.166666667
1140,1140,1,17,0,0,17,0,0,0,6,0,0,0
1141,1141,0,30,0,0,42,0,0,0,6,0,1,0.166666667
1142,1142,1,1,2,0,1,0,1,0,6,0,0,0
1143,1143,0,7,0,0,7,0,0,0,6,0,0,0
1144,1144,1,1,2,0,1,0,1,0,6,0,0,0
1145,1145,2,11,0,0.71,14,2,1,0,6,0,1,0.166666667
1146,1146,4,35,0,0.85,35,0,1,0,6,0,0,0
1147,1147,5,5,2,0,6,0,2,0,6,0,0,0
1148,1148,0,17,0,0,17,0,0,0,6,0,0,0
1149,1149,1,13,0,0,27,0,0,2,6,0,0,0
1150,1150,1,13,0,0,14,0,0,0,6,0,0,0
1151,1151,4,17,0,0,17,0,0,0,6,0,0,0
1152,1152,0,7,0,0,7,0,0,0,6,0,1,0.166666667
1153,1153,1,5,0,0,5,0,0,0,6,0,0,0
1154,1154,0,7,0,0,7,0,0,0,6,0,0,0
1155,1155,3,6,0,0.5,11,0,2,0,6,0,0,0
1156,1156,2,5,0,0,7,0,1,0,6,0,0,0
1157,1157,1,9,0,0,9,0,0,0,6,0,0,0
1158,1158,0,1,0,0,1,0,0,0,6,0,1,0.166666667
1159,1159,7,21,0,0.5,25,0,2,1,6,0,1,0.166666667
1160,1160,0,0,0,0,0,0,0,0,6,0,0,0
1161,1161,1,5,0,0.6,7,0,1,0,6,0,2,0.333333333
1162,1162,1,5,0,0.6,7,0,1,0,6,0,0,0
1163,1163,4,3,2,0,4,0,2,0,6,0,0,0
1164,1164,0,7,0,0,7,0,0,0,6,0,0,0
1165,1165,1,18,0,0.85,26,0,1,0,6,0,0,0
1166,1166,0,5,0,0,5,0,0,0,6,0,0,0
1167,1167,1,17,0,0.85,17,0,1,0,6,0,4,0.666666667
1168,1168,3,9,0,0,9,0,0,0,6,0,1,0.166666667
1169,1169,1,3,0,0.33,4,0,1,0,6,0,0,0
1170,1170,4,3,2,0,4,0,2,0,6,0,0,0
1171,1171,0,9,0,0,11,0,0,0,6,0,0,0
1172,1172,1,3,0,0,3,0,0,0,6,0,0,0
1173,1173,1,17,0,0,17,0,0,0,6,0,0,0
1174,1174,3,3,0,0,4,0,0,0,6,0,0,0
1175,1175,0,7,0,0,7,0,0,0,6,0,0,0
1176,1176,2,7,0,0.67,8,0,1,0,6,0,2,0.333333333
1177,1177,2,5,0,1,6,0,1,0,6,0,1,0.166666667
1178,1178,0,7,0,0,7,0,0,0,6,0,0,0
1179,1179,0,9,0,0,9,0,0,0,6,0,0,0
1180,1180,1,9,0,0,9,0,0,0,6,0,0,0
1181,1181,6,16,0,0,24,0,30,3,6,0,0,0
1182,1182,16,22,6,0.5,53,4,28,4,6,0,0,0
1183,1183,3,1,0,0,3,0,4,0,6,0,0,0
1184,1184,1,7,0,0.33,7,1,1,0,6,0,0,0
1185,1185,21,2,0,0,11,0,2,1,6,0,0,0
1186,1186,5,2,0,0,5,0,0,1,8,0,1,0.125
1187,1187,9,7,0,0,21,0,0,1,8,0,2,0.25
1188,1188,4,2,0,0,3,0,0,1,6,0,0,0
1189,1189,12,16,0,0,11,0,17,1,6,0,0,0
1190,1190,0,3,0,0,9,0,0,1,8,0,0,0
1191,1191,36,93,6,0.84,225,0,70,20,8,0,1,0.125
1192,1192,0,0,0,0,0,0,0,0,8,0,0,0
1193,1193,10,11,5,0.67,16,5,13,2,6,0,0,0
1194,1194,6,7,6,0,11,0,1,2,8,0,1,0.125
1195,1195,7,3,6,0,4,0,2,1,8,0,1,0.125
1196,1196,67,115,6,0.82,253,0,111,24,8,0,5,0.625
1197,1197,19,8,6,0.38,24,0,20,3,6,0,1,0.166666667
1198,1198,2,3,0,0,6,0,1,3,6,0,0,0
1199,1199,2,2,0,0,6,0,1,1,6,0,0,0
1200,1200,0,0,0,0,0,0,0,0,6,0,0,0
1201,1201,2,13,0,0,32,0,0,10,6,0,0,0
1202,1202,2,22,0,0,44,0,1,13,6,0,0,0
1203,1203,0,0,0,0,0,0,0,0,6,0,0,0
1204,1204,0,3,0,0,12,0,0,3,8,0,0,0
1205,1205,0,3,0,0,7,0,0,1,8,0,0,0
1206,1206,3,65,0,0,121,0,8,37,6,0,0,0
1207,1207,1,6,0,0,20,0,1,6,6,0,0,0
1208,1208,0,3,0,0,11,0,0,1,6,0,0,0
1209,1209,6,15,0,0,32,0,8,5,6,0,0,0
1210,1210,0,5,0,0,5,1,0,0,6,0,0,0
1211,1211,1,3,2,0,3,0,1,0,6,0,0,0
1212,1212,0,0,0,0,0,0,0,0,6,0,0,0
1213,1213,0,0,0,0,0,0,0,0,6,0,0,0
1214,1214,5,5,0,0,68,0,13,1,6,0,0,0
1215,1215,11,7,0,0,170,0,17,1,6,0,0,0
1216,1216,12,64,0,0,269,0,54,20,8,0,4,0.5
1217,1217,16,2,0,0,8,0,10,1,6,0,0,0
1218,1218,16,5,0,0.33,12,0,10,2,6,0,0,0
1219,1219,0,10,0,0,0,0,0,10,6,0,0,0
1220,1220,12,47,0,0,191,0,5,12,6,0,1,0.166666667
1221,1221,1,12,0,0.67,13,0,2,2,6,0,0,0
1222,1222,0,8,0,0.67,7,0,0,2,6,0,0,0
1223,1223,0,10,0,0.67,14,0,0,2,6,0,0,0
1224,1224,0,8,0,0.67,7,0,0,2,2,0,0,0
1225,1225,0,8,0,0.67,7,0,0,2,6,0,0,0
1226,1226,0,8,0,0.67,7,0,0,2,2,0,0,0
1227,1227,0,8,0,0.67,7,0,0,2,1,0,0,0
1228,1228,0,14,0,0.67,16,0,0,2,3,0,0,0
1229,1229,0,14,0,0.67,32,0,0,2,6,0,0,0
1230,1230,0,8,0,0.67,7,0,0,2,2,0,0,0
1231,1231,0,8,0,0.67,7,0,0,2,6,0,0,0
1232,1232,0,8,0,0.67,7,0,0,2,5,0,0,0
1233,1233,0,8,0,0.67,11,0,0,2,6,0,0,0
1234,1234,0,10,0,0.67,10,0,0,2,6,0,0,0
1235,1235,1,14,0,0.67,18,0,2,2,6,0,0,0
1236,1236,5,18,0,0.67,50,0,22,2,6,0,0,0
1237,1237,0,8,0,0.67,7,0,0,2,6,0,0,0
1238,1238,0,8,0,0.67,11,0,0,2,6,0,0,0
1239,1239,0,10,0,0.67,10,0,0,2,6,0,0,0
1240,1240,0,14,0,0.67,16,0,0,2,6,0,0,0
1241,1241,0,8,0,0.67,7,0,0,2,4,0,0,0
1242,1242,5,18,0,0.67,38,0,15,2,6,0,0,0
1243,1243,0,8,0,0.67,7,0,0,2,6,0,0,0
1244,1244,0,10,0,0.67,10,0,0,2,6,0,0,0
1245,1245,0,10,0,0.67,10,0,0,2,3,0,0,0
1246,1246,1,8,0,0.67,7,0,2,2,6,0,0,0
1247,1247,1,8,0,0.67,9,0,3,2,6,0,0,0
1248,1248,1,8,0,0.67,7,0,2,2,6,0,0,0
1249,1249,2,12,0,0.67,15,0,5,2,6,0,0,0
1250,1250,1,8,0,0.67,13,0,5,2,6,0,0,0
1251,1251,0,8,0,0.67,7,0,0,2,6,0,0,0
1252,1252,0,8,0,0.67,7,0,0,2,6,0,0,0
1253,1253,2,10,0,0.67,14,0,5,2,6,0,0,0
1254,1254,0,10,0,0.67,10,0,0,2,6,0,0,0
1255,1255,2,10,0,0.67,12,0,5,2,6,0,0,0
1256,1256,1,14,0,0.67,32,0,8,2,6,0,0,0
1257,1257,1,16,0,0.67,33,0,3,2,6,0,0,0
1258,1258,1,8,0,0.67,7,0,2,2,3,0,0,0
1259,1259,2,10,0,0.67,14,0,6,2,6,0,0,0
1260,1260,1,6,0,0.67,10,0,1,2,6,0,0,0
1261,1261,1,6,0,0.67,13,0,1,2,1,0,0,0
1262,1262,0,10,0,0.67,10,0,0,2,6,0,0,0
1263,1263,1,10,0,0.67,16,0,3,2,6,0,0,0
1264,1264,0,12,0,0.67,17,0,0,2,6,0,0,0
1265,1265,0,10,0,0.67,8,0,0,2,6,0,0,0
1266,1266,3,18,0,0.67,42,0,7,2,6,0,0,0
1267,1267,0,10,0,0.67,10,0,0,2,6,0,0,0
1268,1268,45,61,0,0.8,203,0,182,36,8,0,4,0.5
1269,1269,0,0,0,0,0,0,0,0,8,0,0,0
1270,1270,0,8,0,0.67,7,0,0,2,6,0,0,0
1271,1271,1,8,0,0.67,9,0,3,2,6,0,0,0
1272,1272,1,8,0,0.67,11,0,4,2,6,0,0,0
1273,1273,1,6,0,0.67,13,0,1,2,1,0,0,0
1274,1274,2,10,0,0.67,16,0,4,2,6,0,0,0
1275,1275,2,10,0,0.67,18,0,6,2,6,0,0,0
1276,1276,2,10,0,0.67,14,0,6,2,6,0,0,0
1277,1277,1,46,0,0.67,100,0,2,2,6,0,0,0
1278,1278,1,6,0,0.67,13,0,1,2,1,0,0,0
1279,1279,2,12,0,0.67,19,0,5,2,6,0,0,0
1280,1280,4,14,0,0.67,26,0,13,2,6,0,0,0
1281,1281,1,8,0,0.67,7,0,2,2,6,0,0,0
1282,1282,1,8,0,0.67,7,0,2,2,3,0,0,0
1283,1283,0,6,0,0.67,6,0,0,2,1,0,0,0
1284,1284,0,6,0,0.67,6,0,0,2,1,0,0,0
1285,1285,1,16,0,0.67,27,0,2,2,6,0,0,0
1286,1286,2,10,0,0.67,14,0,4,2,4,0,0,0
1287,1287,4,14,0,0.67,36,0,8,2,6,0,0,0
1288,1288,4,14,0,0.67,34,0,9,2,6,0,0,0
1289,1289,0,8,0,0.67,7,0,0,2,2,0,0,0
1290,1290,0,8,0,0.67,7,0,0,2,2,0,0,0
1291,1291,50,118,0,0.67,326,0,166,2,6,0,0,0
1292,1292,3,12,0,0.67,45,0,6,2,6,0,0,0
1293,1293,0,10,0,0.67,8,0,0,2,6,0,0,0
1294,1294,0,12,0,0.67,13,0,0,2,6,0,0,0
1295,1295,0,10,0,0.67,10,0,0,2,6,0,0,0
