,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,will_change
3771,Application.Areas.RmaAdmin.Validators.Request.Plant9RequestCreationFromSpreadsheetViewModelValidator,0.024691358024691357,0.006147540983606557,0.0,0.33,0.005113221329437546,0.0,0.009685230024213076,0.0,0
3775,Application.Areas.RmaAdmin.Validators.Request.Plant9UnderAnalysisRequestViewModelValidator,0.030864197530864196,0.012295081967213115,0.0,0.0,0.005113221329437546,0.0,0.009685230024213076,0.0,0
3776,Application.Areas.RmaAdmin.Validators.Request.SpreadsheetUploadViewModelValidator,0.05555555555555555,0.036885245901639344,0.0,0.67,0.03360116873630387,0.0,0.036319612590799036,0.0,0
3778,Application.Areas.RmaAdmin.Validators.ReturnItems.StockReturnViewModelValidator,0.024691358024691357,0.012295081967213115,0.0,0.5,0.009495982468955442,0.0,0.004842615012106538,0.0,0
3786,Application.Areas.RmaAdmin.Validators.RMA.RmaSplitViewModelValidator,0.024691358024691357,0.01639344262295082,0.0,0.0,0.007304601899196494,0.0,0.007263922518159807,0.0,0
3787,Application.Areas.RmaAdmin.Validators.SuggestItems.FormItemValidator,0.05555555555555555,0.00819672131147541,0.0,0.5,0.008035062089116144,0.0,0.01937046004842615,0.0,0
3788,Application.Areas.RmaAdmin.Validators.SuggestItems.FormValidator,0.037037037037037035,0.01639344262295082,0.0,0.0,0.005843681519357195,0.0,0.009685230024213076,0.0,0
3814,Application.Areas.RmaAdmin.ViewModels.CheckItems.Details,0.024691358024691357,0.03073770491803279,0.0,0.5,0.01168736303871439,0.005291005291005291,0.002421307506053269,0.0,0
3841,Application.Areas.RmaAdmin.ViewModels.Inva.IndexViewModel,0.08641975308641975,0.05122950819672131,0.0,0.0,0.015339663988312637,0.0,0.05811138014527845,0.0,0
3851,Application.Areas.RmaAdmin.ViewModels.PerformTest.RmaItemDetails,0.006172839506172839,0.07377049180327869,0.2857142857142857,0.0,0.022644265887509132,0.0,0.002421307506053269,0.0,0
3860,Application.Areas.RmaAdmin.ViewModels.PerformTest.ScrapModal,0.0,0.06762295081967214,0.0,0.0,0.021183345507669833,0.0,0.0,0.0,0
3866,Application.Areas.RmaAdmin.ViewModels.Replacement.Plant9.DetailsListItem,0.006172839506172839,0.026639344262295084,0.0,0.0,0.009495982468955442,0.0,0.0,0.0,0
3874,Application.Areas.RmaAdmin.ViewModels.Request.AssociateInvoiceListViewModel.Builder,0.0,0.045081967213114756,0.0,0.0,0.018991964937910884,0.0,0.0,0.0,0
3883,Application.Areas.RmaAdmin.ViewModels.Request.Plant10RequestCreationViewModel,0.024691358024691357,0.026639344262295084,0.0,0.0,0.016800584368151936,0.0,0.08716707021791768,0.0,0
3884,Application.Areas.RmaAdmin.ViewModels.Request.Plant10UnderAnalysisRequestViewModel,0.030864197530864196,0.014344262295081968,0.2857142857142857,1.0,0.008765522279035792,0.0,0.009685230024213076,0.0,0
3891,Application.Areas.RmaAdmin.ViewModels.Request.Plant9RequestCreationViewModel,0.018518518518518517,0.022540983606557378,0.0,0.0,0.01168736303871439,0.0,0.007263922518159807,0.0,0
3892,Application.Areas.RmaAdmin.ViewModels.Request.Plant9UnderAnalysisRequestViewModel,0.030864197530864196,0.014344262295081968,0.2857142857142857,1.0,0.008765522279035792,0.0,0.009685230024213076,0.0,0
3900,Application.Areas.RmaAdmin.ViewModels.Request.SpreadsheetUploadViewModel,0.012345679012345678,0.026639344262295084,0.0,0.0,0.014609203798392988,0.0,0.002421307506053269,0.0,0
3905,Application.Areas.RmaAdmin.ViewModels.Review.DetailsList,0.012345679012345678,0.034836065573770496,0.0,0.5,0.013148283418553688,0.0,0.002421307506053269,0.0,0
